thumb,,page,canvas
2,"4162,2591,352,436""",1,23
11,"4160,1722,352,452""",2,24
15,"4168,3538,344,440""",2,24
26,"4216,2162,352,444""",3,25
33B,"4216,3962,340,452""",3,25
35,"4212,4418,348,456""",3,25
61B,"4168,3974,356,432""",5,27
79,"4164,4870,344,440""",6,28
82,"4152,2170,336,436""",7,29
91,"4132,1722,344,464""",8,30
95,"4116,3978,344,444""",8,30
98,"4108,4878,348,456""",8,30
99,"4104,5330,348,448""",8,30
105,"4112,3988,336,424""",9,31
107,"4100,4878,352,456""",9,31
108,"4100,5334,344,448""",9,31
115,"4132,3058,348,452""",10,32
117,"4132,3962,344,436""",10,32
118B,"4128,4866,340,448""",10,32
119,"4124,5326,348,420""",10,32
123,"4156,2630,348,440""",11,33
124,"4160,3070,348,464""",11,33
172bis,"4112,2180,360,424""",15,37
180B,"4120,4892,344,408""",15,37
188B,"4088,4406,348,452""",16,38
191,"4088,1252,344,456""",17,39
192B,"4076,1718,348,464""",17,39
192C,"4084,2190,344,428""",17,39
196,"4076,3986,336,432""",17,39
196B,"4068,4430,344,444""",17,39
197,"4068,4894,352,428""",17,39
198,"4068,5338,348,424""",17,39
200,"4122,1251,352,444""",18,40
200B,"4118,1699,352,462""",18,40
205,"4124,3510,340,448""",18,40
211,"4112,1230,352,444""",19,41
216B,"4112,3950,344,424""",19,41
221,"4108,2118,344,432""",20,42
222,"4100,2566,348,436""",20,42
224,"4104,3478,348,428""",20,42
237,"4096,4834,340,444""",21,43
238,"4096,5290,340,428""",21,43
242,"4092,2586,348,432""",22,44
258,"4100,1722,344,448""",24,46
263,"4100,2622,336,436""",24,46
280,"4076,4410,340,456""",25,47
282,"4072,5322,344,424""",25,47
283,"4120,1226,344,436""",26,48
289,"4128,3490,344,440""",26,48
303,"4120,4886,348,428""",27,49
307,"4144,1702,352,456""",28,50
309,"4148,2618,348,420""",28,50
314,"4152,4862,352,444""",28,50
317,"4122,1265,350,438""",29,51
318B,"4118,2179,356,438""",29,51
319,"4120,2609,350,454""",29,51
322,"4124,3965,346,424""",29,51
324,"4124,4867,350,442""",29,51
326,"4124,5315,348,426""",29,51
331,"4128,3502,344,424""",30,52
334bis,"4136,4390,348,440""",30,52
340,"4120,2170,344,432""",31,53
342,"4116,3058,352,448""",31,53
356,"4120,1254,340,444""",32,54
363B,"4132,4418,352,436""",32,54
366,"4128,5318,352,420""",32,54
371,"4088,3074,344,452""",33,55
380,"4112,1698,352,448""",34,56
381,"4112,2162,356,424""",34,56
383,"4120,3510,348,440""",34,56
388,"4124,4406,344,444""",34,56
389,"4120,4874,344,420""",34,56
391,"4144,1238,340,460""",35,57
397,"4140,3950,348,444""",35,57
401,"4140,5738,340,420""",35,57
408,"4164,3950,344,428""",36,58
419,"4144,3942,344,436""",37,59
432,"4156,3522,348,444""",38,60
438,"4152,2164,352,440""",39,61
449,"4132,1718,352,440""",40,62
459,"4102,1763,348,460""",41,63
484,"4114,3977,350,436""",43,65
497,"4152,5292,328,416""",44,66
510,"4124,1274,344,444""",46,68
511,"4120,1722,352,444""",46,68
517,"4108,3974,348,448""",46,68
525,"4108,3554,352,432""",47,69
534,"4104,2638,344,436""",48,70
538,"4096,4438,352,440""",48,70
540,"4100,5334,348,436""",48,70
547,"4060,3982,344,432""",49,71
548,"4060,4422,340,444""",49,71
558,"4088,3058,352,452""",50,72
559,"4076,3522,364,436""",50,72
560,"4096,3974,336,424""",50,72
561,"4088,4418,348,440""",50,72
562,"4088,4874,352,436""",50,72
563,"4088,5322,348,424""",50,72
565,"4108,1686,356,448""",51,73
574,"4108,5302,356,432""",51,73
575,"4120,1210,344,436""",52,74
